№,Страна,Население,Дата,% от населения Земли,Источник
1,Индия,1 433 165 000,5 декабря 2024,17.55%,Счётчик[1]
2,Китай,1 409 670 000,1 января 2024,17.26%,Оценка[2]
3,США[Комм. 1],334 233 854,1 января 2023,4.09%,Оценка[3]
4,Индонезия,274 900 000,1 декабря 2022,3.52%,Оценка[4]
5,Пакистан,241 499 431,1 марта 2023,2.96%,Перепись[5]
6,Нигерия,226 826 390,5 декабря 2024,2.79%,Счётчик[6]
7,Бразилия,203 080 756,1 августа 2022,2.49%,Перепись[7]
8,Бангладеш,169 828 911,15 июня 2022,2.08%,Перепись[8]
9,Россия[Комм. 2],146 150 789,1 января 2024,1.79%,Оценка[9]
10,Мексика,133 649 565,1 января 2021,1.63%,Перепись[10]
11,Япония,123 890 000,1 июня 2024,1.52%,Оценка[11]
12,Эфиопия,118 550 298,1 января 2024,1.45%,Оценка[12]
13,Филиппины,115 335 302,5 декабря 2024,1.41%,Счётчик[13]
14,Демократическая Республика Конго,108 407 721,1 июля 2022,1.33%,Оценка[14]
15,Египет,105 914 499,1 января 2024,1.3%,Оценка[15]
16,Вьетнам,100 309 200,2023,1.23%,Оценка[16]
17,Турция[Комм. 3],85 279 553,31 декабря 2022,1.04%,Оценка[17]
18,Иран,85 000 000,16 мая 2023,1.04%,Оценка[18]
19,Германия,84 669 326,31 декабря 2023,1.04%,Оценка[19]
20,Таиланд,69 895 155,5 декабря 2024,0.86%,Счётчик[22]
21,Великобритания,67 647 112,1 января 2021,0.82%,Оценка[21]
22,Франция[Комм. 4],66 150 000,1 февраля 2024,0.81%,Оценка[20]
23,ЮАР,61 956 900,1 июля 2021,0.76%,Оценка[23]
24,Танзания,61 741 120,23 августа 2022,0.76%,Перепись[24]
25,Италия,58 966 453,31 марта 2024,0.72%,Оценка[25]
26,Кения,57 564 296,25 августа 2021,0.7%,Перепись[29]
27,Мьянма,54 045 000,1 июля 2019,0.66%,Оценка[26]
28,Республика Корея,51 780 579,1 января 2020,0.63%,Оценка[27]
29,Колумбия,49 258 494,30 октября 2018,0.6%,Перепись[28]
30,Судан,49 214 450,5 декабря 2024,0.6%,Счётчик[33]
31,Испания,46 934 632,1 января 2021,0.57%,Оценка[30]
32,Алжир,46 653 000,1 июля 2021,0.57%,Оценка[26]
33,Аргентина,46 082 160,18 мая 2022,0.56%,Перепись[31]
34,Уганда,45 935 046,10 мая 2024,0.56%,Перепись[32]
35,Ирак,41 310 000,1 июля 2019,0.51%,Оценка[26]
36,Украина[Комм. 5],41 167 300,1 января 2022,0.5%,Оценка[34]
37,Канада,41 012 563,1 апреля 2024,0.5%,Оценка[35]
38,Марокко,37 953 770,5 декабря 2024,0.46%,Счётчик[37]
39,Польша,37 749 000,1 января 2023,0.46%,Оценка[36]
40,Узбекистан,37 507 599,5 декабря 2024,0.46%,Счётчик[38]
41,Малайзия,35 171 085,5 декабря 2024,0.43%,Счётчик[39]
42,Ангола,34 825 000,1 июля 2019,0.43%,Оценка[26]
43,Венесуэла,34 568 000,5 декабря 2024,0.42%,Счётчик[40]
44,Афганистан,34 262 840,1 апреля 2022,0.42%,Оценка[41]
45,Саудовская Аравия,32 175 224,10 мая 2022,0.39%,Перепись[42]
46,Перу,32 162 184,1 декабря 2018,0.39%,Оценка[43]
47,Гана,31 418 000,1 июля 2019,0.38%,Оценка[26]
48,Мозамбик,31 366 000,1 июля 2019,0.38%,Оценка[26]
49,Йемен,31 162 000,1 июля 2019,0.38%,Оценка[26]
50,Непал,29 164 578,25 ноября 2021,0.36%,Перепись[44]
51,Мадагаскар,28 680 342,1 июня 2018,0.35%,Перепись[45]
52,Кот-д’Ивуар,27 717 000,1 июля 2019,0.34%,Оценка[26]
53,Австралия[Комм. 6],26 966 789,31 декабря 2023,0.33%,Оценка[46]
54,Камерун,26 348 251,1 июля 2021,0.32%,Оценка[47]
55,КНДР,25 666 000,1 июля 2019,0.31%,Оценка[26]
56,Нигер,25 314 743,1 июля 2021,0.31%,Оценка[49]
57,Китайская Республика (Тайвань)[Комм. 7],23 782 448,1 апреля 2018,0.29%,Оценка[48]
